date,metal,price
1974-02-11,silver,5.05
1974-02-12,gold,146.80
1974-02-13,gold,144.30
1974-02-13,silver,5.20
1974-02-14,gold,146.30
1974-02-14,silver,5.35
1974-02-15,gold,149.10
1974-02-15,silver,5.50
1974-02-19,gold,149.80
1974-02-19,silver,5.54
1974-02-20,gold,150.30
1974-02-20,silver,5.69
1974-02-21,gold,157.00
1974-02-21,silver,5.84
1974-02-22,gold,163.30
1974-02-22,silver,5.99
1974-02-25,gold,169.80
1974-02-25,silver,6.14
1974-02-26,gold,175.30
1974-02-26,silver,6.29
1974-02-27,gold,174.30
1974-02-27,silver,6.16
1974-02-28,gold,162.80
1974-02-28,silver,5.96
1974-03-01,gold,167.80
1974-03-01,silver,5.76
1974-03-04,gold,166.30
1974-03-04,silver,5.57
1974-03-05,gold,159.30
1974-03-05,silver,5.37
1974-03-06,gold,160.30
1974-03-06,silver,5.18
1974-03-07,gold,166.30
1974-03-07,silver,5.38
1974-03-08,gold,165.30
1974-03-08,silver,5.29
1974-03-11,gold,165.80
1974-03-11,silver,5.43
1974-03-12,gold,163.30
1974-03-12,silver,5.63
1974-03-13,gold,164.80
1974-03-13,silver,5.68
1974-03-14,gold,164.80
1974-03-14,silver,5.51
1974-03-15,gold,164.10
1974-03-15,silver,5.47
1974-03-18,gold,164.30
1974-03-18,silver,5.59
1974-03-19,gold,169.30
1974-03-19,silver,5.79
1974-03-20,gold,176.30
1974-03-20,silver,5.85
1974-03-21,gold,175.30
1974-03-21,silver,5.65
1974-03-22,gold,177.80
1974-03-22,silver,5.80
1974-03-25,gold,177.00
1974-03-25,silver,5.60
1974-03-26,gold,172.50
1974-03-26,silver,5.40
1974-03-27,gold,174.30
1974-03-27,silver,5.38
1974-03-28,gold,174.80
1974-03-28,silver,5.55
1974-03-29,gold,173.30
1974-03-29,silver,5.56
1974-04-01,gold,174.40
1974-04-01,silver,5.36
1974-04-02,gold,177.30
1974-04-02,silver,5.24
1974-04-03,gold,179.80
1974-04-03,silver,5.43
1974-04-04,gold,176.50
1974-04-04,silver,5.39
1974-04-05,gold,173.50
1974-04-05,silver,5.19
1974-04-08,gold,167.30
1974-04-08,silver,4.99
1974-04-09,gold,170.30
1974-04-09,silver,4.79
1974-04-10,gold,173.50
1974-04-10,silver,4.59
1974-04-11,gold,173.80
1974-04-11,silver,4.44
1974-04-15,gold,174.00
1974-04-15,silver,4.64
1974-04-16,gold,172.50
1974-04-16,silver,4.58
1974-04-17,gold,170.20
1974-04-17,silver,4.71
1974-04-18,gold,170.30
1974-04-18,silver,4.91
1974-04-19,gold,172.30
1974-04-19,silver,5.11
1974-04-22,gold,175.00
1974-04-22,silver,5.30
1974-04-23,gold,175.00
1974-04-23,silver,5.50
1974-04-24,gold,171.00
1974-04-24,silver,5.71
1974-04-25,gold,169.30
1974-04-25,silver,5.69
1974-04-26,gold,169.30
1974-04-26,silver,5.62
1974-04-29,gold,169.50
1974-04-29,silver,5.80
1974-04-30,gold,169.50
1974-04-30,silver,5.74
1974-05-01,gold,169.80
1974-05-01,silver,5.54
1974-05-02,gold,169.90
1974-05-02,silver,5.72
1974-05-03,gold,169.30
1974-05-03,silver,5.72
1974-05-06,gold,166.30
1974-05-06,silver,5.52
1974-05-07,gold,163.30
1974-05-07,silver,5.38
1974-05-08,gold,158.00
1974-05-08,silver,5.58
1974-05-09,gold,166.50
1974-05-09,silver,5.71
1974-05-10,gold,168.00
1974-05-10,silver,5.83
1974-05-13,gold,166.80
1974-05-13,silver,6.03
1974-05-14,gold,166.50
1974-05-14,silver,5.84
1974-05-15,gold,164.70
1974-05-15,silver,6.03
1974-05-16,gold,164.30
1974-05-16,silver,5.92
1974-05-17,gold,165.80
1974-05-17,silver,5.87
1974-05-20,gold,163.20
1974-05-20,silver,5.67
1974-05-21,gold,161.30
1974-05-21,silver,5.61
1974-05-22,gold,163.30
1974-05-22,silver,5.41
1974-05-23,gold,159.80
1974-05-23,silver,5.21
1974-05-24,gold,162.00
1974-05-24,silver,5.00
1974-05-28,gold,154.30
1974-05-28,silver,4.80
1974-05-29,gold,155.80
1974-05-29,silver,5.00
1974-05-30,gold,162.30
1974-05-30,silver,5.13
1974-05-31,gold,157.00
1974-05-31,silver,4.93
1974-06-03,gold,155.80
1974-06-03,silver,4.74
1974-06-04,gold,154.70
1974-06-04,silver,4.93
1974-06-05,gold,162.00
1974-06-05,silver,5.13
1974-06-06,gold,159.30
1974-06-06,silver,5.17
1974-06-07,gold,155.80
1974-06-07,silver,5.24
1974-06-10,gold,157.70
1974-06-10,silver,5.26
1974-06-11,gold,157.50
1974-06-11,silver,5.07
1974-06-12,gold,156.80
1974-06-12,silver,5.24
1974-06-13,gold,157.30
1974-06-13,silver,5.04
1974-06-14,gold,160.80
1974-06-14,silver,5.07
1974-06-17,gold,157.80
1974-06-17,silver,5.09
1974-06-18,gold,155.80
1974-06-18,silver,4.98
1974-06-19,gold,153.90
1974-06-19,silver,4.82
1974-06-20,gold,152.00
1974-06-20,silver,4.86
1974-06-21,gold,154.00
1974-06-21,silver,4.89
1974-06-24,gold,150.30
1974-06-24,silver,4.70
1974-06-25,gold,150.00
1974-06-25,silver,4.73
1974-06-26,gold,146.80
1974-06-26,silver,4.77
1974-06-27,gold,144.80
1974-06-27,silver,4.75
1974-06-28,gold,144.50
1974-06-28,silver,4.80
1974-07-01,gold,143.30
1974-07-01,silver,4.60
1974-07-02,gold,137.20
1974-07-02,silver,4.49
1974-07-03,gold,136.70
1974-07-03,silver,4.29
1974-07-05,gold,134.30
1974-07-05,silver,4.22
1974-07-08,gold,141.20
1974-07-08,silver,4.42
1974-07-09,gold,145.70
1974-07-09,silver,4.52
1974-07-10,gold,139.00
1974-07-10,silver,4.32
1974-07-11,gold,137.20
1974-07-11,silver,4.12
1974-07-12,gold,137.20
1974-07-12,silver,3.96
1974-07-15,gold,139.00
1974-07-15,silver,4.16
1974-07-16,gold,141.30
1974-07-16,silver,3.96
1974-07-17,gold,141.00
1974-07-17,silver,4.04
1974-07-18,gold,144.20
1974-07-18,silver,4.47
1974-07-19,gold,145.80
1974-07-19,silver,4.61
1974-07-22,gold,143.30
1974-07-22,silver,4.81
1974-07-23,gold,144.20
1974-07-23,silver,4.61
1974-07-24,gold,144.50
1974-07-24,silver,4.79
1974-07-25,gold,149.30
1974-07-25,silver,5.24
1974-07-26,gold,149.30
1974-07-26,silver,5.10
1974-07-29,gold,157.80
1974-07-29,silver,5.42
1974-07-30,gold,157.30
1974-07-30,silver,5.21
1974-07-31,gold,156.20
1974-07-31,silver,5.26
1974-08-01,gold,159.60
1974-08-01,silver,5.07
1974-08-02,gold,156.80
1974-08-02,silver,4.87
1974-08-05,gold,153.90
1974-08-05,silver,4.83
1974-08-06,gold,155.30
1974-08-06,silver,5.00
1974-08-07,gold,154.80
1974-08-07,silver,4.93
1974-08-08,gold,152.30
1974-08-08,silver,4.73
1974-08-09,gold,154.50
1974-08-09,silver,4.51
1974-08-12,gold,152.50
1974-08-12,silver,4.47
1974-08-13,gold,151.80
1974-08-13,silver,4.67
1974-08-14,gold,156.50
1974-08-14,silver,4.66
1974-08-15,gold,153.30
1974-08-15,silver,4.50
1974-08-16,gold,155.80
1974-08-16,silver,4.62
1974-08-19,gold,155.50
1974-08-19,silver,4.75
1974-08-20,gold,156.30
1974-08-20,silver,4.62
1974-08-21,gold,155.80
1974-08-21,silver,4.66
1974-08-22,gold,154.80
1974-08-22,silver,4.84
1974-08-23,gold,154.30
1974-08-23,silver,4.65
1974-08-26,gold,154.30
1974-08-26,silver,4.50
1974-08-27,gold,153.80
1974-08-27,silver,4.30
1974-08-28,gold,154.60
1974-08-28,silver,4.42
1974-08-29,gold,155.80
1974-08-29,silver,4.28
1974-08-30,gold,156.30
1974-08-30,silver,4.29
1974-09-03,gold,158.00
1974-09-03,silver,4.09
1974-09-04,gold,157.20
1974-09-04,silver,4.14
1974-09-05,gold,157.70
1974-09-05,silver,4.27
1974-09-06,gold,157.30
1974-09-06,silver,4.21
1974-09-09,gold,155.80
1974-09-09,silver,4.12
1974-09-10,gold,154.70
1974-09-10,silver,4.05
1974-09-11,gold,153.20
1974-09-11,silver,4.09
1974-09-12,gold,154.70
1974-09-12,silver,4.06
1974-09-13,gold,153.20
1974-09-13,silver,4.12
1974-09-16,gold,153.00
1974-09-16,silver,3.94
1974-09-17,gold,148.00
1974-09-17,silver,3.81
1974-09-18,gold,148.20
1974-09-18,silver,3.88
1974-09-19,gold,149.80
1974-09-19,silver,3.96
1974-09-20,gold,146.30
1974-09-20,silver,3.99
1974-09-23,gold,148.30
1974-09-23,silver,4.15
1974-09-24,gold,147.80
1974-09-24,silver,4.26
1974-09-25,gold,147.50
1974-09-25,silver,4.14
1974-09-26,gold,145.70
1974-09-26,silver,4.36
1974-09-27,gold,146.00
1974-09-27,silver,4.22
1974-09-30,gold,151.50
1974-09-30,silver,4.53
1974-10-01,gold,156.00
1974-10-01,silver,4.81
1974-10-02,gold,154.30
1974-10-02,silver,4.73
1974-10-03,gold,155.90
1974-10-03,silver,4.93
1974-10-04,gold,159.30
1974-10-04,silver,5.24
1974-10-07,gold,157.80
1974-10-07,silver,5.04
1974-10-08,gold,155.30
1974-10-08,silver,4.84
1974-10-09,gold,155.90
1974-10-09,silver,5.04
1974-10-10,gold,158.50
1974-10-10,silver,4.84
1974-10-11,gold,157.20
1974-10-11,silver,4.69
1974-10-14,gold,156.30
1974-10-15,gold,155.30
1974-10-15,silver,4.82
1974-10-16,gold,155.20
1974-10-16,silver,4.69
1974-10-17,gold,155.20
1974-10-17,silver,4.67
1974-10-18,gold,155.50
1974-10-18,silver,4.87
1974-10-21,gold,157.30
1974-10-21,silver,5.14
1974-10-22,gold,158.20
1974-10-22,silver,5.03
1974-10-23,gold,158.00
1974-10-23,silver,5.09
1974-10-24,gold,162.20
1974-10-24,silver,5.29
1974-10-25,gold,163.50
1974-10-25,silver,5.30
1974-10-28,gold,167.70
1974-10-28,silver,5.58
1974-10-29,gold,168.50
1974-10-29,silver,5.25
1974-10-30,gold,168.20
1974-10-30,silver,5.06
1974-10-31,gold,167.20
1974-10-31,silver,5.15
1974-11-01,gold,168.00
1974-11-01,silver,5.02
1974-11-04,gold,169.50
1974-11-04,silver,5.03
1974-11-06,gold,178.20
1974-11-06,silver,5.23
1974-11-07,gold,177.50
1974-11-07,silver,5.42
1974-11-08,gold,183.20
1974-11-08,silver,5.38
1974-11-11,gold,182.20
1974-11-12,gold,180.20
1974-11-12,silver,5.03
1974-11-13,gold,185.50
1974-11-13,silver,4.94
1974-11-14,gold,188.50
1974-11-14,silver,4.99
1974-11-15,gold,187.70
1974-11-15,silver,4.79
1974-11-18,gold,190.80
1974-11-18,silver,4.81
1974-11-19,gold,188.00
1974-11-19,silver,4.59
1974-11-20,gold,180.80
1974-11-20,silver,4.86
1974-11-21,gold,182.70
1974-11-21,silver,4.54
1974-11-22,gold,182.50
1974-11-22,silver,4.54
1974-11-25,gold,184.00
1974-11-25,silver,4.54
1974-11-26,gold,186.20
1974-11-26,silver,4.68
1974-11-27,gold,184.50
1974-11-27,silver,4.63
1974-11-29,gold,185.30
1974-11-29,silver,4.74
1974-12-02,gold,186.00
1974-12-02,silver,4.54
1974-12-03,gold,183.20
1974-12-03,silver,4.57
1974-12-04,gold,174.50
1974-12-04,silver,4.56
1974-12-05,gold,178.70
1974-12-05,silver,4.58
1974-12-06,gold,181.10
1974-12-06,silver,4.52
1974-12-09,gold,180.70
1974-12-09,silver,4.45
1974-12-10,gold,178.20
1974-12-10,silver,4.48
1974-12-11,gold,175.00
1974-12-11,silver,4.44
1974-12-12,gold,176.00
1974-12-12,silver,4.48
1974-12-13,gold,180.00
1974-12-13,silver,4.58
1974-12-16,gold,183.20
1974-12-16,silver,4.78
1974-12-17,gold,188.70
1974-12-17,silver,4.70
1974-12-18,gold,187.20
1974-12-18,silver,4.83
1974-12-19,gold,186.50
1974-12-19,silver,4.90
1974-12-20,gold,187.70
1974-12-20,silver,4.76
1974-12-23,gold,193.20
1974-12-23,silver,4.96
1974-12-24,gold,193.90
1974-12-24,silver,5.03
1974-12-26,gold,194.50
1974-12-26,silver,5.13
1974-12-27,gold,195.20
1974-12-27,silver,5.10
1974-12-30,gold,195.50
1974-12-30,silver,4.90
1974-12-31,gold,185.70
1974-12-31,silver,4.70
1975-01-02,gold,178.20
1975-01-02,silver,4.60
1975-01-03,gold,177.50
1975-01-03,silver,4.51
1975-01-06,gold,176.80
1975-01-06,silver,4.50
1975-01-07,gold,175.80
1975-01-07,silver,4.41
1975-01-08,gold,180.40
1975-01-08,silver,4.40
1975-01-09,gold,180.90
1975-01-09,silver,4.41
1975-01-10,gold,183.80
1975-01-10,silver,4.60
1975-01-13,gold,181.40
1975-01-13,silver,4.55
1975-01-14,gold,181.20
1975-01-14,silver,4.70
1975-01-15,gold,180.00
1975-01-15,silver,4.54
1975-01-16,gold,177.70
1975-01-16,silver,4.43
1975-01-17,gold,174.70
1975-01-17,silver,4.23
1975-01-20,gold,178.90
1975-01-20,silver,4.32
1975-01-21,gold,176.30
1975-01-21,silver,4.20
1975-01-22,gold,176.90
1975-01-22,silver,4.25
1975-01-23,gold,178.90
1975-01-23,silver,4.45
1975-01-24,gold,182.20
1975-01-24,silver,4.58
1975-01-27,gold,179.40
1975-01-27,silver,4.45
1975-01-28,gold,178.60
1975-01-28,silver,4.51
1975-01-29,gold,181.70
1975-01-29,silver,4.56
1975-01-30,gold,178.30
1975-01-30,silver,4.44
1975-01-31,gold,178.00
1975-01-31,silver,4.32
1975-02-03,gold,178.30
1975-02-03,silver,4.36
1975-02-04,gold,177.30
1975-02-04,silver,4.33
1975-02-05,gold,176.70
1975-02-05,silver,4.37
1975-02-06,gold,176.30
1975-02-06,silver,4.43
1975-02-07,gold,177.30
1975-02-07,silver,4.54
1975-02-10,gold,175.60
1975-02-10,silver,4.39
1975-02-11,gold,176.80
1975-02-11,silver,4.53
1975-02-13,gold,185.80
1975-02-13,silver,4.73
1975-02-14,gold,184.90
1975-02-14,silver,4.67
1975-02-18,gold,185.40
1975-02-18,silver,4.86
1975-02-19,gold,185.60
1975-02-19,silver,4.74
1975-02-20,gold,187.70
1975-02-20,silver,4.87
1975-02-21,gold,186.00
1975-02-21,silver,4.78
1975-02-24,gold,186.90
1975-02-24,silver,4.79
1975-02-25,gold,184.40
1975-02-25,silver,4.61
1975-02-26,gold,185.20
1975-02-26,silver,4.68
1975-02-27,gold,182.50
1975-02-27,silver,4.60
1975-02-28,gold,183.00
1975-02-28,silver,4.65
1975-03-03,gold,182.60
1975-03-03,silver,4.68
1975-03-04,gold,177.00
1975-03-04,silver,4.48
1975-03-05,gold,178.70
1975-03-05,silver,4.45
1975-03-06,gold,180.60
1975-03-06,silver,4.49
1975-03-07,gold,178.00
1975-03-07,silver,4.46
1975-03-10,gold,177.20
1975-03-10,silver,4.56
1975-03-11,gold,180.00
1975-03-11,silver,4.67
1975-03-12,gold,178.10
1975-03-12,silver,4.70
1975-03-13,gold,179.50
1975-03-13,silver,4.65
1975-03-14,gold,178.70
1975-03-14,silver,4.62
1975-03-17,gold,179.00
1975-03-17,silver,4.71
1975-03-18,gold,178.60
1975-03-18,silver,4.46
1975-03-19,gold,179.20
1975-03-19,silver,4.61
1975-03-20,gold,175.50
1975-03-20,silver,4.38
1975-03-21,gold,175.60
1975-03-21,silver,4.40
1975-03-24,gold,175.90
1975-03-24,silver,4.27
1975-03-25,gold,178.70
1975-03-25,silver,4.31
1975-03-26,gold,180.70
1975-03-26,silver,4.42
1975-03-27,gold,178.50
1975-03-27,silver,4.30
1975-03-31,gold,179.50
1975-03-31,silver,4.39
1975-04-01,gold,179.10
1975-04-01,silver,4.35
1975-04-02,gold,178.10
1975-04-02,silver,4.27
1975-04-03,gold,177.10
1975-04-03,silver,4.21
1975-04-04,gold,173.80
1975-04-04,silver,4.14
1975-04-07,gold,174.10
1975-04-07,silver,4.18
1975-04-08,gold,174.50
1975-04-08,silver,4.16
1975-04-09,gold,174.50
1975-04-09,silver,4.18
1975-04-10,gold,173.10
1975-04-10,silver,4.22
1975-04-11,gold,172.70
1975-04-11,silver,4.20
1975-04-14,gold,166.20
1975-04-14,silver,4.12
1975-04-15,gold,164.60
1975-04-15,silver,4.15
1975-04-16,gold,166.50
1975-04-16,silver,4.28
1975-04-17,gold,169.50
1975-04-17,silver,4.46
1975-04-18,gold,169.00
1975-04-18,silver,4.41
1975-04-21,gold,165.70
1975-04-21,silver,4.36
1975-04-22,gold,166.70
1975-04-22,silver,4.29
1975-04-23,gold,168.80
1975-04-23,silver,4.38
1975-04-24,gold,167.00
1975-04-24,silver,4.36
1975-04-25,gold,166.80
1975-04-25,silver,4.39
1975-04-28,gold,166.30
1975-04-28,silver,4.41
1975-04-29,gold,167.80
1975-04-29,silver,4.46
1975-04-30,gold,166.80
1975-04-30,silver,4.37
1975-05-01,gold,165.50
1975-05-01,silver,4.39
1975-05-02,gold,165.00
1975-05-02,silver,4.35
1975-05-05,gold,163.50
1975-05-05,silver,4.40
1975-05-06,gold,164.90
1975-05-06,silver,4.49
1975-05-07,gold,166.10
1975-05-07,silver,4.58
1975-05-08,gold,167.30
1975-05-08,silver,4.56
1975-05-09,gold,166.60
1975-05-09,silver,4.63
1975-05-12,gold,165.90
1975-05-12,silver,4.62
1975-05-13,gold,166.70
1975-05-13,silver,4.67
1975-05-14,gold,169.30
1975-05-14,silver,4.63
1975-05-15,gold,165.90
1975-05-15,silver,4.46
1975-05-16,gold,166.90
1975-05-16,silver,4.66
1975-05-19,gold,168.80
1975-05-19,silver,4.71
1975-05-20,gold,168.20
1975-05-20,silver,4.63
1975-05-21,gold,172.20
1975-05-21,silver,4.73
1975-05-22,gold,173.50
1975-05-22,silver,4.72
1975-05-23,gold,174.70
1975-05-23,silver,4.75
1975-05-27,gold,174.40
1975-05-27,silver,4.58
1975-05-28,gold,172.50
1975-05-28,silver,4.63
1975-05-29,gold,170.10
1975-05-29,silver,4.54
1975-05-30,gold,169.00
1975-05-30,silver,4.52
1975-06-02,gold,165.20
1975-06-02,silver,4.41
1975-06-03,gold,167.50
1975-06-03,silver,4.47
1975-06-04,gold,165.90
1975-06-04,silver,4.42
1975-06-05,gold,167.40
1975-06-05,silver,4.41
1975-06-06,gold,167.20
1975-06-06,silver,4.42
1975-06-09,gold,168.50
1975-06-09,silver,4.60
1975-06-10,gold,167.30
1975-06-10,silver,4.54
1975-06-11,gold,167.10
1975-06-11,silver,4.58
1975-06-12,gold,166.50
1975-06-12,silver,4.56
1975-06-13,gold,165.90
1975-06-13,silver,4.54
1975-06-16,gold,164.40
1975-06-16,silver,4.51
1975-06-17,gold,166.00
1975-06-17,silver,4.56
1975-06-18,gold,165.40
1975-06-18,silver,4.54
1975-06-19,gold,164.30
1975-06-19,silver,4.53
1975-06-20,gold,164.30
1975-06-20,silver,4.56
1975-06-23,gold,163.50
1975-06-23,silver,4.53
1975-06-24,gold,164.50
1975-06-24,silver,4.64
1975-06-25,gold,166.30
1975-06-25,silver,4.62
1975-06-26,gold,166.00
1975-06-26,silver,4.61
1975-06-27,gold,167.90
1975-06-27,silver,4.64
1975-06-30,gold,167.80
1975-06-30,silver,4.67
1975-07-01,gold,168.10
1975-07-01,silver,4.62
1975-07-02,gold,166.30
1975-07-02,silver,4.58
1975-07-03,gold,166.40
1975-07-03,silver,4.62
1975-07-07,gold,164.00
1975-07-07,silver,4.55
1975-07-08,gold,166.70
1975-07-08,silver,4.68
1975-07-09,gold,172.20
1975-07-09,silver,4.70
1975-07-10,gold,170.70
1975-07-10,silver,4.68
1975-07-11,gold,173.00
1975-07-11,silver,4.72
1975-07-14,gold,172.70
1975-07-14,silver,4.71
1975-07-15,gold,171.50
1975-07-15,silver,4.73
1975-07-16,gold,170.90
1975-07-16,silver,4.71
1975-07-17,gold,170.80
1975-07-17,silver,4.67
1975-07-18,gold,170.80
1975-07-18,silver,4.79
1975-07-21,gold,170.60
1975-07-21,silver,4.86
1975-07-22,gold,172.20
1975-07-22,silver,4.88
1975-07-23,gold,171.50
1975-07-23,silver,4.87
1975-07-24,gold,172.00
1975-07-24,silver,4.93
1975-07-25,gold,174.30
1975-07-25,silver,5.07
1975-07-28,gold,176.10
1975-07-28,silver,5.26
1975-07-29,gold,173.80
1975-07-29,silver,5.43
1975-07-30,gold,173.80
1975-07-30,silver,5.16
1975-07-31,gold,173.40
1975-07-31,silver,5.19
1975-08-01,gold,173.40
1975-08-01,silver,5.25
1975-08-04,gold,173.10
1975-08-04,silver,5.34
1975-08-05,gold,171.60
1975-08-05,silver,5.25
1975-08-06,gold,171.00
1975-08-06,silver,5.33
1975-08-07,gold,171.30
1975-08-07,silver,5.42
1975-08-08,gold,166.60
1975-08-08,silver,5.22
1975-08-11,gold,166.70
1975-08-11,silver,5.43
1975-08-12,gold,168.40
1975-08-12,silver,5.53
1975-08-13,gold,165.00
1975-08-13,silver,5.35
1975-08-14,gold,163.90
1975-08-14,silver,5.34
1975-08-15,gold,166.80
1975-08-15,silver,5.36
1975-08-18,gold,166.20
1975-08-18,silver,5.28
1975-08-19,gold,166.20
1975-08-19,silver,5.35
1975-08-20,gold,167.00
1975-08-20,silver,5.31
1975-08-21,gold,166.30
1975-08-21,silver,5.24
1975-08-22,gold,165.80
1975-08-22,silver,5.30
1975-08-25,gold,166.00
1975-08-25,silver,5.33
1975-08-26,gold,165.60
1975-08-26,silver,5.14
1975-08-27,gold,166.00
1975-08-27,silver,5.16
1975-08-28,gold,165.50
1975-08-28,silver,5.06
1975-08-29,gold,162.80
1975-08-29,silver,4.96
1975-09-02,gold,152.80
1975-09-02,silver,4.76
1975-09-03,gold,153.70
1975-09-03,silver,4.87
1975-09-04,gold,155.20
1975-09-04,silver,4.89
1975-09-05,gold,156.00
1975-09-05,silver,4.90
1975-09-08,gold,153.00
1975-09-08,silver,4.83
1975-09-09,gold,151.80
1975-09-09,silver,4.91
1975-09-10,gold,150.40
1975-09-10,silver,4.96
1975-09-11,gold,149.60
1975-09-11,silver,4.88
1975-09-12,gold,149.70
1975-09-12,silver,5.02
1975-09-15,gold,150.00
1975-09-15,silver,4.99
1975-09-16,gold,147.70
1975-09-16,silver,4.96
1975-09-17,gold,144.30
1975-09-17,silver,4.99
1975-09-18,gold,137.80
1975-09-18,silver,4.86
1975-09-19,gold,138.40
1975-09-19,silver,4.83
1975-09-22,gold,134.80
1975-09-22,silver,4.78
1975-09-23,gold,131.20
1975-09-23,silver,4.77
1975-09-24,gold,137.50
1975-09-24,silver,4.85
1975-09-25,gold,137.00
1975-09-25,silver,4.84
1975-09-26,gold,139.00
1975-09-26,silver,4.87
1975-09-29,gold,139.80
1975-09-29,silver,4.79
1975-09-30,gold,142.20
1975-09-30,silver,4.81
1975-10-01,gold,144.20
1975-10-01,silver,4.89
1975-10-02,gold,143.40
1975-10-02,silver,4.81
1975-10-03,gold,139.90
1975-10-03,silver,4.75
1975-10-06,gold,142.60
1975-10-06,silver,4.75
1975-10-07,gold,143.70
1975-10-07,silver,4.76
1975-10-08,gold,139.60
1975-10-08,silver,4.59
1975-10-09,gold,141.70
1975-10-09,silver,4.63
1975-10-10,gold,143.60
1975-10-10,silver,4.58
1975-10-14,gold,142.90
1975-10-14,silver,4.73
1975-10-15,gold,142.90
1975-10-15,silver,4.62
1975-10-16,gold,144.00
1975-10-16,silver,4.70
1975-10-17,gold,146.10
1975-10-17,silver,4.74
1975-10-20,gold,146.80
1975-10-20,silver,4.74
1975-10-21,gold,145.20
1975-10-21,silver,4.66
1975-10-22,gold,146.50
1975-10-22,silver,4.68
1975-10-23,gold,145.10
1975-10-23,silver,4.62
1975-10-24,gold,144.10
1975-10-24,silver,4.58
1975-10-27,gold,143.00
1975-10-27,silver,4.47
1975-10-28,gold,143.30
1975-10-28,silver,4.56
1975-10-29,gold,144.10
1975-10-29,silver,4.57
1975-10-30,gold,143.60
1975-10-30,silver,4.54
1975-10-31,gold,142.80
1975-10-31,silver,4.50
1975-11-03,gold,143.30
1975-11-03,silver,4.53
1975-11-05,gold,148.40
1975-11-05,silver,4.73
1975-11-06,gold,146.00
1975-11-06,silver,4.76
1975-11-07,gold,147.80
1975-11-07,silver,4.81
1975-11-10,gold,146.40
1975-11-10,silver,4.83
1975-11-12,gold,155.20
1975-11-12,silver,4.77
1975-11-13,gold,144.60
1975-11-13,silver,4.72
1975-11-14,gold,141.60
1975-11-14,silver,4.73
1975-11-17,gold,140.80
1975-11-17,silver,4.63
1975-11-18,gold,141.80
1975-11-18,silver,4.63
1975-11-19,gold,144.40
1975-11-19,silver,4.64
1975-11-20,gold,152.80
1975-11-20,silver,4.56
1975-11-21,gold,152.30
1975-11-21,silver,4.55
1975-11-24,gold,152.60
1975-11-24,silver,4.60
1975-11-25,gold,151.50
1975-11-25,silver,4.53
1975-11-26,gold,150.70
1975-11-26,silver,4.54
1975-11-28,gold,147.80
1975-11-28,silver,4.39
1975-12-01,gold,147.30
1975-12-01,silver,4.34
1975-12-02,gold,148.70
1975-12-02,silver,4.39
1975-12-03,gold,147.20
1975-12-03,silver,4.29
1975-12-04,gold,147.10
1975-12-04,silver,4.28
1975-12-05,gold,146.60
1975-12-05,silver,4.28
1975-12-08,gold,144.40
1975-12-08,silver,4.18
1975-12-09,gold,145.40
1975-12-09,silver,4.22
1975-12-10,gold,147.00
1975-12-10,silver,4.25
1975-12-11,gold,147.00
1975-12-11,silver,4.30
1975-12-12,gold,145.90
1975-12-12,silver,4.20
1975-12-15,gold,145.30
1975-12-15,silver,4.20
1975-12-16,gold,146.30
1975-12-16,silver,4.30
1975-12-17,gold,146.60
1975-12-17,silver,4.32
1975-12-18,gold,146.50
1975-12-18,silver,4.31
1975-12-19,gold,153.50
1975-12-19,silver,4.51
1975-12-22,gold,151.30
1975-12-22,silver,4.57
1975-12-23,gold,149.50
1975-12-23,silver,4.50
1975-12-24,gold,149.40
1975-12-24,silver,4.51
1975-12-29,gold,149.90
1975-12-29,silver,4.43
1975-12-30,gold,149.70
1975-12-30,silver,4.42
1975-12-31,gold,148.80
1975-12-31,silver,4.43
1976-01-02,gold,148.80
1976-01-02,silver,4.46
1976-01-05,gold,147.10
1976-01-05,silver,4.49
1976-01-06,gold,147.50
1976-01-06,silver,4.52
1976-01-07,gold,146.60
1976-01-07,silver,4.55
1976-01-08,gold,142.70
1976-01-08,silver,4.44
1976-01-09,gold,143.40
1976-01-09,silver,4.44
1976-01-12,gold,143.40
1976-01-12,silver,4.50
1976-01-13,gold,137.70
1976-01-13,silver,4.31
1976-01-14,gold,138.80
1976-01-14,silver,4.31
1976-01-15,gold,137.60
1976-01-15,silver,4.18
1976-01-16,gold,136.80
1976-01-16,silver,4.20
1976-01-19,gold,132.90
1976-01-19,silver,4.09
1976-01-20,gold,129.30
1976-01-20,silver,4.02
1976-01-21,gold,129.30
1976-01-21,silver,4.06
1976-01-22,gold,131.10
1976-01-22,silver,4.08
1976-01-23,gold,133.50
1976-01-23,silver,4.09
1976-01-26,gold,131.10
1976-01-26,silver,4.01
1976-01-27,gold,131.50
1976-01-27,silver,4.07
1976-01-28,gold,133.80
1976-01-28,silver,4.12
1976-01-29,gold,133.90
1976-01-29,silver,4.20
1976-01-30,gold,134.00
1976-01-30,silver,4.12
1976-02-02,gold,136.60
1976-02-02,silver,4.16
1976-02-03,gold,136.20
1976-02-03,silver,4.12
1976-02-04,gold,134.60
1976-02-04,silver,4.08
1976-02-05,gold,134.60
1976-02-05,silver,4.11
1976-02-06,gold,136.50
1976-02-06,silver,4.14
1976-02-09,gold,135.10
1976-02-09,silver,4.11
1976-02-10,gold,135.70
1976-02-10,silver,4.29
1976-02-11,gold,135.10
1976-02-11,silver,4.25
1976-02-12,gold,135.50
